Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
0,"3 BHK 2036 Sq. ft Apartment for Sale in Hennur, Bangalore","Hennur, Bangalore",3 Bedrooms,3 Bathrooms,2036 Sq.ft Built Up(189.35 Sq.m),"Jan 25, 2025 Available From",₹2.45 Crores
1,"Semi Furnished 3BHK Apartment for Sale in Jigani, Bangalore at DLF Woodland Heights","Jigani, Bangalore",3 Bedrooms,3 Bathrooms,1228 Sq.ft Built Up(114.20 Sq.m),"Dec 1, 2024 Available From",₹70 Lakhs
2,"2 BHK 1094 Sq. ft Apartment for Sale in Padmanabha Nagar, Bangalore","Padmanabha Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1094 Sq.ft Built Up(101.74 Sq.m),"Jan 1, 2025 Available From",₹1.75 Crores
3,"2 BHK 900 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,900 Sq.ft Built Up(83.70 Sq.m),"Jan 29, 2025 Available From",₹90 Lakhs
4,"2 BHK 1070 Sq. ft Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,1070 Sq.ft Built Up(99.51 Sq.m),"Jan 29, 2025 Available From",₹75 Lakhs
5,"2 BHK 1070 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,1070 Sq.ft Built Up(99.51 Sq.m),"Jan 26, 2025 Available From",₹75 Lakhs
6,"2 BHK 950 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 26, 2025 Available From",₹90 Lakhs
7,"2 BHK 950 Sq. ft Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 27, 2025 Available From",₹90 Lakhs
8,"2 BHK 950 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 21, 2025 Available From",₹75 Lakhs
9,"3 BHK 1500 Sq. ft Apartment for Sale in TC Palya, Bangalore","TC Palya, Bangalore",3 Bedrooms,3 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Dec 1, 2024 Available From",₹58 Lakhs
10,"3 BHK 1536 Sq. ft Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,1536 Sq.ft Built Up(142.85 Sq.m),"Dec 1, 2024 Available From",₹1.85 Crores
11,"2 BHK 1076 Sq. ft Apartment for Sale in Yelahanka New Town, Bangalore","Yelahanka New Town, Bangalore",2 Bedrooms,2 Bathrooms,1076 Sq.ft Built Up(100.07 Sq.m),"Dec 9, 2024 Available From",₹90 Lakhs
12,"4 BHK 2553 Sq.ft, Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",4 Bedrooms,4 Bathrooms,2553 Sq.ft Built Up(237.43 Sq.m),"Nov 12, 2024 Available From",₹2.76 Crores
13,"2 BHK 1200 Sq.ft, Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",2 Bedrooms,2 Bathrooms,1200 Sq.ft Built Up(111.60 Sq.m),"Nov 25, 2024 Available From",₹1.40 Crores
14,"3 BHK 1463 Sq.ft, Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",3 Bedrooms,3 Bathrooms,1463 Sq.ft Built Up(136.06 Sq.m),"Nov 25, 2024 Available From",₹2.10 Crores
15,"3 BHK 1899 Sq.ft, Apartment for Sale in Chikkagubbi Village, Bangalore","Chikkagubbi Village, Bangalore",3 Bedrooms,3 Bathrooms,1899 Sq.ft Built Up(176.61 Sq.m),"Nov 12, 2024 Available From",₹2.07 Crores
16,"2 BHK 1273 Sq.ft, Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",2 Bedrooms,2 Bathrooms,1273 Sq.ft Built Up(118.39 Sq.m),"Nov 25, 2024 Available From",₹1.51 Crores
17,"3 BHK 1696 Sq.ft, Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",3 Bedrooms,3 Bathrooms,1696 Sq.ft Built Up(157.73 Sq.m),"Nov 25, 2024 Available From",₹2.43 Crores
18,"Semi Furnished 3BHK Apartment for Sale in Jigani, Bangalore at DLF Woodland Heights","Jigani, Bangalore",3 Bedrooms,3 Bathrooms,1228 Sq.ft Built Up(114.20 Sq.m),"Dec 1, 2024 Available From",₹70 Lakhs
19,"3 BHK 2036 Sq. ft Apartment for Sale in Hennur, Bangalore","Hennur, Bangalore",3 Bedrooms,3 Bathrooms,2036 Sq.ft Built Up(189.35 Sq.m),"Jan 25, 2025 Available From",₹2.45 Crores
20,"2 BHK 1094 Sq. ft Apartment for Sale in Padmanabha Nagar, Bangalore","Padmanabha Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1094 Sq.ft Built Up(101.74 Sq.m),"Jan 1, 2025 Available From",₹1.75 Crores
21,"2 BHK 1070 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,1070 Sq.ft Built Up(99.51 Sq.m),"Jan 26, 2025 Available From",₹75 Lakhs
22,"2 BHK 1070 Sq. ft Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,1070 Sq.ft Built Up(99.51 Sq.m),"Jan 29, 2025 Available From",₹75 Lakhs
23,"2 BHK 900 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,900 Sq.ft Built Up(83.70 Sq.m),"Jan 29, 2025 Available From",₹90 Lakhs
24,"2 BHK 950 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 26, 2025 Available From",₹90 Lakhs
25,"2 BHK 950 Sq. ft Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 27, 2025 Available From",₹90 Lakhs
26,"2 BHK 950 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 21, 2025 Available From",₹75 Lakhs
27,"3 BHK 1500 Sq. ft Apartment for Sale in TC Palya, Bangalore","TC Palya, Bangalore",3 Bedrooms,3 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Dec 1, 2024 Available From",₹58 Lakhs
28,"3 BHK 1536 Sq. ft Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,1536 Sq.ft Built Up(142.85 Sq.m),"Dec 1, 2024 Available From",₹1.85 Crores
29,"2 BHK 1076 Sq. ft Apartment for Sale in Yelahanka New Town, Bangalore","Yelahanka New Town, Bangalore",2 Bedrooms,2 Bathrooms,1076 Sq.ft Built Up(100.07 Sq.m),"Dec 9, 2024 Available From",₹90 Lakhs
30,"2 BHK 1385 Sq.ft, Apartment for Sale in Chikkagubbi Village, Bangalore","Chikkagubbi Village, Bangalore",2 Bedrooms,2 Bathrooms,1385 Sq.ft Built Up(128.81 Sq.m),"Dec 1, 2027 Available From",₹1
31,"3 BHK 1705 Sq.ft, Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1705 Sq.ft Built Up(158.56 Sq.m),"Feb 2, 2028 Available From",₹1.74 Crores
32,"4 BHK 2553 Sq.ft, Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",4 Bedrooms,4 Bathrooms,2553 Sq.ft Built Up(237.43 Sq.m),"Nov 12, 2024 Available From",₹2.76 Crores
33,"3 BHK 1899 Sq.ft, Apartment for Sale in Chikkagubbi Village, Bangalore","Chikkagubbi Village, Bangalore",3 Bedrooms,3 Bathrooms,1899 Sq.ft Built Up(176.61 Sq.m),"Nov 12, 2024 Available From",₹2.07 Crores
34,"3 BHK 1582 Sq.ft, Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1582 Sq.ft Built Up(147.13 Sq.m),"Feb 2, 2028 Available From",₹1.64 Crores
35,"2 BHK 1273 Sq.ft, Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",2 Bedrooms,2 Bathrooms,1273 Sq.ft Built Up(118.39 Sq.m),"Nov 25, 2024 Available From",₹1.51 Crores
36,"3 BHK 1900 Sq.ft, Apartment for Sale in Hennur Bagalur Road, Bangalore","Hennur Bagalur Road, Bangalore",3 Bedrooms,3 Bathrooms,1900 Sq.ft Built Up(176.70 Sq.m),"Oct 4, 2024 Available From",₹1.24 Crores
37,"3 BHK 1705 Sq.ft, Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1705 Sq.ft Built Up(158.56 Sq.m),"Feb 2, 2028 Available From",₹1.74 Crores
38,"2 BHK 1200 Sq.ft, Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",2 Bedrooms,2 Bathrooms,1200 Sq.ft Built Up(111.60 Sq.m),"Nov 25, 2024 Available From",₹1.40 Crores
39,"3 BHK 1463 Sq.ft, Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",3 Bedrooms,3 Bathrooms,1463 Sq.ft Built Up(136.06 Sq.m),"Nov 25, 2024 Available From",₹2.10 Crores
40,"3 BHK 1582 Sq.ft, Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1582 Sq.ft Built Up(147.13 Sq.m),"Feb 2, 2028 Available From",₹1.64 Crores
41,"3 BHK 1691 Sq.ft, Villa for Sale in Bannerghatta Jigani Road, Bangalore","Bannerghatta Jigani Road, Bangalore",3 Bedrooms,3 Bathrooms,1691 Sq.ft Built Up(157.26 Sq.m),"Oct 4, 2024 Available From",₹85 Lakhs
42,"2 BHK 770 Sq. ft Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,1 Bathroom,770 Sq.ft Built Up(71.61 Sq.m),"Feb 3, 2025 Available From",₹56 Lakhs
43,"3 BHK 1641 Sq. ft Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,1641 Sq.ft Built Up(152.61 Sq.m),"Feb 3, 2025 Available From",₹2.25 Crores
44,"4+ BHK 3300 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4+ Bedrooms,5 Bathrooms,3300 Sq.ft Built Up(306.90 Sq.m),"Feb 3, 2025 Available From",₹5.50 Crores
45,"3 BHK 1530 Sq.ft, Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",3 Bedrooms,3 Bathrooms,1530 Sq.ft Built Up(142.29 Sq.m),"Feb 3, 2025 Available From",₹1.48 Crores
46,"3 BHK 2100 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,2100 Sq.ft Built Up(195.30 Sq.m),"Feb 3, 2025 Available From",₹3.50 Crores
47,"2 BHK 1350 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1350 Sq.ft Built Up(125.55 Sq.m),"Feb 3, 2025 Available From",₹2 Crores
48,"3 BHK 2200 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,3 Bathrooms,2200 Sq.ft Built Up(204.60 Sq.m),"Feb 3, 2025 Available From",₹2.50 Crores
49,"3 BHK 1691 Sq.ft, Villa for Sale in Bannerghatta Jigani Road, Bangalore","Bannerghatta Jigani Road, Bangalore",3 Bedrooms,3 Bathrooms,1691 Sq.ft Built Up(157.26 Sq.m),"Oct 4, 2024 Available From",₹85 Lakhs
50,"2 BHK Apartment for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",2 Bedrooms,2 Bathrooms,826 Sq.ft Built Up(76.82 Sq.m),"Jun 30, 2027 Available From",₹1.42 Crores
51,"4 BHK Villa for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",4 Bedrooms,4 Bathrooms,3901 Sq.ft Built Up(362.79 Sq.m),"Aug 15, 2026 Available From",₹2.93 Crores
52,"2 BHK Apartment for Sale in Gattahalli, Bangalore","Gattahalli, Bangalore",2 Bedrooms,2 Bathrooms,1249 Sq.ft Built Up(116.16 Sq.m),"Dec 31, 2027 Available From",₹1.82 Crores
53,"3 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,3 Bathrooms,1938 Sq.ft Built Up(180.23 Sq.m),"Dec 31, 2027 Available From",₹2.27 Crores
54,"2 BHK 883 Sq.ft, Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,883 Sq.ft Built Up(82.12 Sq.m),"Mar 1, 2028 Available From",₹59.99 Lakhs
55,"4+ BHK 3268 Sq.ft, Villa for Sale in Hulimavu, Bangalore","Hulimavu, Bangalore",4+ Bedrooms,5 Bathrooms,3268 Sq.ft Built Up(303.92 Sq.m),"Feb 3, 2025 Available From",₹4.10 Crores
56,"3 BHK 2400 Sq.ft, Villa for Sale in Electronic City Phase II, Bangalore","Electronic City Phase II, Bangalore",3 Bedrooms,3 Bathrooms,2400 Sq.ft Built Up(223.20 Sq.m),"Feb 3, 2025 Available From",₹1.90 Crores
57,"3 BHK 1396 Sq.ft, Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",3 Bedrooms,3 Bathrooms,1396 Sq.ft Built Up(129.83 Sq.m),"Feb 3, 2025 Available From",₹1.37 Crores
58,"4+ BHK 4500 Sq.ft, Villa for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,5 Bathrooms,4500 Sq.ft Built Up(418.50 Sq.m),"Feb 3, 2025 Available From",₹8 Crores
59,"3 BHK 2600 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,2600 Sq.ft Built Up(241.80 Sq.m),"Feb 3, 2025 Available From",₹4.40 Crores
60,"2 BHK 1130 Sq.ft, Apartment for Sale in Electronic City Phase II, Bangalore","Electronic City Phase II, Bangalore",2 Bedrooms,2 Bathrooms,1130 Sq.ft Built Up(105.09 Sq.m),"Feb 3, 2025 Available From",₹90 Lakhs
61,"2 BHK 1078 Sq.ft, Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,1078 Sq.ft Built Up(100.25 Sq.m),"Feb 3, 2025 Available From",₹1.02 Crores
62,"4+ BHK 3000 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,5 Bathrooms,3000 Sq.ft Built Up(279.00 Sq.m),"Feb 3, 2025 Available From",₹3.30 Crores
63,"3 BHK 2710 Sq.ft, Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",3 Bedrooms,3 Bathrooms,2710 Sq.ft Built Up(252.03 Sq.m),"Feb 3, 2025 Available From",₹2.60 Crores
64,"1 BHK 692 Sq.ft, Apartment for Sale in Hoskote, Bangalore","Hoskote, Bangalore",1 Bedroom,1 Bathroom,692 Sq.ft Built Up(64.36 Sq.m),"Feb 3, 2025 Available From",₹42.99 Lakhs
65,"2 BHK 875 Sq.ft, Apartment for Sale in Doddaballapur Road, Bangalore","Doddaballapur Road, Bangalore",2 Bedrooms,2 Bathrooms,875 Sq.ft Built Up(81.38 Sq.m),"Feb 3, 2025 Available From",₹40 Lakhs
66,"3 BHK 1929 Sq.ft, Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",3 Bedrooms,3 Bathrooms,1929 Sq.ft Built Up(179.40 Sq.m),"Feb 3, 2025 Available From",₹2.49 Crores
67,"4+ BHK 3200 Sq.ft, Apartment for Sale in Jakkur, Bangalore","Jakkur, Bangalore",4+ Bedrooms,5 Bathrooms,3200 Sq.ft Built Up(297.60 Sq.m),"Feb 3, 2025 Available From",₹4.30 Crores
68,"2 BHK Apartment for Sale in Gattahalli, Bangalore","Gattahalli, Bangalore",2 Bedrooms,2 Bathrooms,1465 Sq.ft Built Up(136.25 Sq.m),"Dec 31, 2027 Available From",₹2.20 Crores
69,"3 BHK 1785 Sq.ft, Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",3 Bedrooms,3 Bathrooms,1785 Sq.ft Built Up(166.00 Sq.m),"Sep 30, 2028 Available From",₹1.91 Crores
70,"4 BHK 3543 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,3 Bathrooms,3543 Sq.ft Built Up(329.50 Sq.m),"Dec 31, 2027 Available From",₹5.25 Crores
71,"4 BHK 2928 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,4 Bathrooms,2928 Sq.ft Built Up(272.30 Sq.m),"Jun 1, 2027 Available From",₹3.74 Crores
72,"4 BHK 3053 Sq.ft, Villa for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",4 Bedrooms,4 Bathrooms,3053 Sq.ft Built Up(283.93 Sq.m),"Nov 30, 2024 Available From",₹2 Crores
73,"3 BHK 1953 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1953 Sq.ft Built Up(181.63 Sq.m),"Mar 1, 2029 Available From",₹1.86 Crores
74,"2 BHK 1323 Sq.ft, Apartment for Sale in Chandapura-Sarjapura Road, Bangalore","Chandapura-Sarjapura Road, Bangalore",2 Bedrooms,2 Bathrooms,1323 Sq.ft Built Up(123.04 Sq.m),"Feb 3, 2025 Available From",₹1.50 Crores
75,"2 BHK 1731 Sq.ft, Apartment for Sale in Jayanagar, Bangalore","Jayanagar, Bangalore",2 Bedrooms,2 Bathrooms,1731 Sq.ft Built Up(160.98 Sq.m),"Feb 3, 2025 Available From",₹3.30 Crores
76,"2 BHK 1350 Sq.ft, Apartment for Sale in Hulimangala, Bangalore","Hulimangala, Bangalore",2 Bedrooms,2 Bathrooms,1350 Sq.ft Built Up(125.55 Sq.m),"Feb 3, 2025 Available From",₹1.33 Crores
77,"2 BHK 1500 Sq.ft, Apartment for Sale in Kasavanahalli, Bangalore","Kasavanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Feb 3, 2025 Available From",₹1.85 Crores
78,"3 BHK 1880 Sq.ft, Apartment for Sale in Kasavanahalli, Bangalore","Kasavanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1880 Sq.ft Built Up(174.84 Sq.m),"Feb 3, 2025 Available From",₹2.20 Crores
79,"3 BHK 1600 Sq.ft, Apartment for Sale in Kasavanahalli, Bangalore","Kasavanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1600 Sq.ft Built Up(148.80 Sq.m),"Feb 3, 2025 Available From",₹1.90 Crores
80,"4+ BHK 4589 Sq.ft, Apartment for Sale in Jayanagar, Bangalore","Jayanagar, Bangalore",4+ Bedrooms,5 Bathrooms,4589 Sq.ft Built Up(426.78 Sq.m),"Feb 3, 2025 Available From",₹9.70 Crores
81,"4+ BHK 4200 Sq.ft, Villa for Sale in Marathahalli ORR, Bangalore","Marathahalli ORR, Bangalore",4+ Bedrooms,5 Bathrooms,4200 Sq.ft Built Up(390.60 Sq.m),"Feb 3, 2025 Available From",₹9.25 Crores
82,"3 BHK 1600 Sq.ft, Apartment for Sale in Yelahanka New Town, Bangalore","Yelahanka New Town, Bangalore",3 Bedrooms,3 Bathrooms,1600 Sq.ft Built Up(148.80 Sq.m),"Feb 3, 2025 Available From",₹1.40 Crores
83,"4+ BHK 2400 Sq.ft, Apartment for Sale in Hennur Main Road, Bangalore","Hennur Main Road, Bangalore",4+ Bedrooms,5 Bathrooms,2400 Sq.ft Built Up(223.20 Sq.m),"Mar 1, 2026 Available From",₹2.35 Crores
84,"2 BHK 1140 Sq.ft, Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",2 Bedrooms,2 Bathrooms,1140 Sq.ft Built Up(106.02 Sq.m),"Feb 3, 2025 Available From",₹1.20 Crores
85,"1 BHK 535 Sq.ft, Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",1 Bedroom,1 Bathroom,535 Sq.ft Built Up(49.76 Sq.m),"Feb 3, 2025 Available From",₹45 Lakhs
86,"3 BHK 1374 Sq.ft, Apartment for Sale in Kalkere Main Road, Bangalore","Kalkere Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1374 Sq.ft Built Up(127.78 Sq.m),"Feb 5, 2025 Available From",₹83.35 Lakhs
87,"3 BHK Villa for Sale in Sarjapur Attibele Road, Bangalore","Sarjapur Attibele Road, Bangalore",3 Bedrooms,3 Bathrooms,1996 Sq.ft Built Up(185.63 Sq.m),"Dec 31, 2025 Available From",₹1.35 Crores
88,"3 BHK 1829 Sq.ft, Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,1829 Sq.ft Built Up(170.10 Sq.m),"Jun 30, 2029 Available From",₹3.69 Crores
89,"3 BHK 1003 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1003 Sq.ft Built Up(93.28 Sq.m),"Sep 30, 2027 Available From",₹1.13 Crores
90,"4 BHK 2660 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4 Bedrooms,4 Bathrooms,2660 Sq.ft Built Up(247.38 Sq.m),"Sep 30, 2030 Available From",₹3.21 Crores
91,"4 BHK Villa for Sale in Gattahalli, Bangalore","Gattahalli, Bangalore",4 Bedrooms,4 Bathrooms,3379 Sq.ft Built Up(314.25 Sq.m),"Dec 31, 2027 Available From",₹5.23 Crores
92,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,962 Sq.ft Built Up(89.47 Sq.m),"Dec 31, 2027 Available From",₹1.72 Crores
93,"3 BHK 1296 Sq.ft, Apartment for Sale in Herohalli, Bangalore","Herohalli, Bangalore",3 Bedrooms,3 Bathrooms,1296 Sq.ft Built Up(120.53 Sq.m),"Mar 15, 2025 Available From",₹80 Lakhs
94,"3 BHK 2037 Sq.ft, Apartment for Sale in Jayanagar, Bangalore","Jayanagar, Bangalore",3 Bedrooms,3 Bathrooms,2037 Sq.ft Built Up(189.44 Sq.m),"Feb 3, 2025 Available From",₹4.40 Crores
95,"2 BHK 1200 Sq.ft, Apartment for Sale in Yelahanka New Town, Bangalore","Yelahanka New Town, Bangalore",2 Bedrooms,2 Bathrooms,1200 Sq.ft Built Up(111.60 Sq.m),"Feb 3, 2025 Available From",₹1.08 Crores
96,"3 BHK 1565 Sq.ft, Apartment for Sale in Hulimangala, Bangalore","Hulimangala, Bangalore",3 Bedrooms,3 Bathrooms,1565 Sq.ft Built Up(145.54 Sq.m),"Feb 3, 2025 Available From",₹1.54 Crores
97,"2 BHK 1330 Sq.ft, Apartment for Sale in Kasavanahalli, Bangalore","Kasavanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1330 Sq.ft Built Up(123.69 Sq.m),"Feb 3, 2025 Available From",₹1.70 Crores
98,"4+ BHK 2400 Sq.ft, Apartment for Sale in Hennur, Bangalore","Hennur, Bangalore",4+ Bedrooms,5 Bathrooms,2400 Sq.ft Built Up(223.20 Sq.m),"Mar 1, 2026 Available From",₹2.35 Crores
99,"4+ BHK 2400 Sq.ft, Apartment for Sale in Off Hennur Road, Bangalore","Off Hennur Road, Bangalore",4+ Bedrooms,5 Bathrooms,2400 Sq.ft Built Up(223.20 Sq.m),"Mar 1, 2026 Available From",₹2.35 Crores
100,"2 BHK 1160 Sq.ft, Apartment for Sale in Hulimangala, Bangalore","Hulimangala, Bangalore",2 Bedrooms,2 Bathrooms,1160 Sq.ft Built Up(107.88 Sq.m),"Feb 3, 2025 Available From",₹1.15 Crores
101,"3 BHK 1820 Sq.ft, Apartment for Sale in Hulimangala, Bangalore","Hulimangala, Bangalore",3 Bedrooms,3 Bathrooms,1820 Sq.ft Built Up(169.26 Sq.m),"Feb 3, 2025 Available From",₹1.78 Crores
102,"3 BHK 1450 Sq.ft, BuilderFloor for Sale in OMBR Layout, Bangalore","OMBR Layout, Bangalore",3 Bedrooms,3 Bathrooms,1450 Sq.ft Built Up(134.85 Sq.m),"Feb 6, 2025 Available From",₹80 Lakhs
103,"4 BHK 4851 Sq.ft, Apartment for Sale in Kodihalli, Bangalore","Kodihalli, Bangalore",4 Bedrooms,4 Bathrooms,4851 Sq.ft Built Up(451.14 Sq.m),"Nov 30, 2024 Available From",₹9.90 Crores
104,"2 BHK 1290 Sq.ft, Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",2 Bedrooms,2 Bathrooms,1290 Sq.ft Built Up(119.97 Sq.m),"Dec 1, 2027 Available From",₹1.45 Crores
105,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,962 Sq.ft Built Up(89.47 Sq.m),"Dec 31, 2027 Available From",₹1.72 Crores
106,"3 BHK Apartment for Sale in Belathur Main Road, Bangalore","Belathur Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1550 Sq.ft Built Up(144.15 Sq.m),"Mar 20, 2027 Available From",₹1.83 Crores
107,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1523 Sq.ft Built Up(141.64 Sq.m),"Mar 30, 2026 Available From",₹1.72 Crores
108,"3 BHK Apartment for Sale in Kengeri, Bangalore","Kengeri, Bangalore",3 Bedrooms,3 Bathrooms,1550 Sq.ft Built Up(144.15 Sq.m),"Nov 30, 2024 Available From",₹74 Lakhs
109,"1 BHK 535 Sq.ft, Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",1 Bedroom,1 Bathroom,535 Sq.ft Built Up(49.76 Sq.m),"Feb 3, 2025 Available From",₹41 Lakhs
110,"3 BHK 1820 Sq.ft, Apartment for Sale in Hulimangala, Bangalore","Hulimangala, Bangalore",3 Bedrooms,3 Bathrooms,1820 Sq.ft Built Up(169.26 Sq.m),"Feb 3, 2025 Available From",₹1.78 Crores
111,"2 BHK 1160 Sq.ft, Apartment for Sale in Hulimangala, Bangalore","Hulimangala, Bangalore",2 Bedrooms,2 Bathrooms,1160 Sq.ft Built Up(107.88 Sq.m),"Feb 3, 2025 Available From",₹1.15 Crores
112,"2 BHK 1600 Sq.ft, Apartment for Sale in Yelahanka New Town, Bangalore","Yelahanka New Town, Bangalore",2 Bedrooms,2 Bathrooms,1600 Sq.ft Built Up(148.80 Sq.m),"Feb 3, 2025 Available From",₹1.75 Crores
113,"2 BHK 1300 Sq. ft Apartment for Sale in Kudlu Gate, Bangalore","Kudlu Gate, Bangalore",2 Bedrooms,2 Bathrooms,1300 Sq.ft Built Up(120.90 Sq.m),"Jul 31, 2026 Available From",₹1.13 Crores
