Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
3152,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,2 Bathrooms,3434 Sq.ft Built Up(319.36 Sq.m),"Oct 22, 2024 Available From",₹5.50 Crores
3153,"4 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,4 Bathrooms,4430 Sq.ft Built Up(411.99 Sq.m),"Oct 22, 2024 Available From",₹4.26 Crores
3154,"2 BHK Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,934 Sq.ft Built Up(86.86 Sq.m),"Oct 22, 2024 Available From",₹74.09 Lakhs
3155,"3 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,2 Bathrooms,4498 Sq.ft Built Up(418.31 Sq.m),"Oct 22, 2024 Available From",₹4.75 Crores
3156,"2 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Oct 22, 2024 Available From",₹80 Lakhs
3157,"3 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,2 Bathrooms,2723 Sq.ft Built Up(253.24 Sq.m),"Oct 22, 2024 Available From",₹3.30 Crores
3158,"2 BHK Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,1329 Sq.ft Built Up(123.60 Sq.m),"Oct 22, 2024 Available From",₹1.51 Crores
3159,"4+ BHK Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",4+ Bedrooms,3 Bathrooms,2120 Sq.ft Built Up(197.16 Sq.m),"Oct 22, 2024 Available From",₹1.65 Crores
3160,"3 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,2 Bathrooms,1550 Sq.ft Built Up(144.15 Sq.m),"Oct 22, 2024 Available From",₹1.07 Crores
3161,"2 BHK Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,1223 Sq.ft Built Up(113.74 Sq.m),"Oct 22, 2024 Available From",₹1.41 Crores
3162,"3 BHK Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",3 Bedrooms,2 Bathrooms,1590 Sq.ft Built Up(147.87 Sq.m),"Oct 22, 2024 Available From",₹2.38 Crores
3163,"1 BHK Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",1 Bedroom,1 Bathroom,511 Sq.ft Built Up(47.52 Sq.m),"Jul 1, 2025 Available From",₹57 Lakhs
3164,"2 BHK Apartment for Sale in Kengeri, Bangalore","Kengeri, Bangalore",2 Bedrooms,2 Bathrooms,728 Sq.ft Built Up(67.70 Sq.m),"Oct 22, 2024 Available From",₹45 Lakhs
3165,"3 BHK 1500 Sqft Apartment for Sale in KR Puram, Bangalore","KR Puram, Bangalore",3 Bedrooms,3 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Sep 1, 2027 Available From",₹1.66 Crores
3166,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,1 Bathroom,2700 Sq.ft Built Up(251.10 Sq.m),"Jan 12, 2027 Available From",₹3.36 Crores
3167,"2 BHK 1240 Sqft Apartment for Sale in Old Madras Road, Bangalore","Old Madras Road, Bangalore",2 Bedrooms,2 Bathrooms,1240 Sq.ft Built Up(115.32 Sq.m),"Nov 19, 2024 Available From",₹99 Lakhs
3168,"2 BHK Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1241 Sq.ft Built Up(115.41 Sq.m),"Nov 13, 2026 Available From",₹1.06 Crores
3169,"2 BHK 1140 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore.","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1140 Sq.ft Built Up(106.02 Sq.m),"Sep 17, 2024 Available From",₹61.56 Lakhs
3170,"3 BHK 2150 Sqft Villa for Sale in Guddahatti, Bangalore.","Guddahatti, Bangalore",3 Bedrooms,3 Bathrooms,2150 Sq.ft Built Up(199.95 Sq.m),"Sep 17, 2024 Available From",₹96.75 Lakhs
3171,"3 BHK 1484 Sqft Apartment for Sale in International Airport Road, Bangalore.","International Airport Road, Bangalore",3 Bedrooms,3 Bathrooms,1484 Sq.ft Built Up(138.01 Sq.m),"Sep 18, 2024 Available From",₹73.47 Lakhs
3172,"3 BHK 2750 Sqft Villa for Sale in Guddahatti, Bangalore.","Guddahatti, Bangalore",3 Bedrooms,3 Bathrooms,2750 Sq.ft Built Up(255.75 Sq.m),"Sep 17, 2024 Available From",₹1.10 Crores
3173,"2 BHK 1060 Sqft Apartment for Sale in Kogilu, Bangalore.","Kogilu, Bangalore",2 Bedrooms,2 Bathrooms,1060 Sq.ft Built Up(98.58 Sq.m),"Sep 17, 2024 Available From",₹49.29 Lakhs
3174,"2 BHK 1240 Sqft Apartment for Sale in Seegehalli, Bangalore.","Seegehalli, Bangalore",2 Bedrooms,2 Bathrooms,1240 Sq.ft Built Up(115.32 Sq.m),"Sep 17, 2024 Available From",₹74.55 Lakhs
3175,"4 BHK 1864 Sq.ft, Apartment for Sale in Byadarahalli, Bangalore","Byadarahalli, Bangalore",4 Bedrooms,4 Bathrooms,1864 Sq.ft Built Up(173.35 Sq.m),"Sep 17, 2024 Available From",₹1.11 Crores
3176,"4 BHK 1834 Sq.ft, Apartment for Sale in Vimanapura, Bangalore","Vimanapura, Bangalore",4 Bedrooms,4 Bathrooms,1834 Sq.ft Built Up(170.56 Sq.m),"Sep 17, 2024 Available From",₹63.29 Lakhs
3177,"2 BHK 1138 Sqft Apartment for Sale in Hennur Road, Bangalore.","Hennur Road, Bangalore",2 Bedrooms,2 Bathrooms,1138 Sq.ft Built Up(105.83 Sq.m),"Dec 31, 2024 Available From",₹90.74 Lakhs
3178,"2 BHK 814 Sqft Apartment for Sale in Dasanapura, Bangalore.","Dasanapura, Bangalore",2 Bedrooms,2 Bathrooms,814 Sq.ft Built Up(75.70 Sq.m),"Sep 17, 2024 Available From",₹44.81 Lakhs
3179,"2 BHK 1237 Sqft Apartment for Sale in Whitefield, Bangalore.","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1237 Sq.ft Built Up(115.04 Sq.m),"Nov 30, 2025 Available From",₹96.56 Lakhs
3180,"3 BHK 2585 Sqft Apartment for Sale in Whitefield, Bangalore.","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2585 Sq.ft Built Up(240.41 Sq.m),"Feb 28, 2026 Available From",₹2.55 Crores
3181,"4+ BHK 3456 Sq.ft, Apartment for Sale in Bellandur, Bangalore","Bellandur, Bangalore",4+ Bedrooms,4 Bathrooms,3456 Sq.ft Built Up(321.41 Sq.m),"Jan 29, 2025 Available From",₹7.65 Crores
